Material,pH,Conc_mg_mL,3_Gy,6_Gy,9_Gy
GdF3,6.5,0.01,0.18,-0.22,-0.55
GdF3,6.5,0.05,0.53,0.06,-0.21
GdF3,6.5,0.10,0.99,0.69,0.57
GdF3,7.4,0.01,0.07,0.04,0.35
GdF3,7.4,0.05,0.32,0.40,0.52
GdF3,7.4,0.10,1.01,1.17,1.25
GdEu 5% F3,6.5,0.01,-0.77,-0.13,-0.43
GdEu 5% F3,6.5,0.05,-0.40,0.16,0.03
GdEu 5% F3,6.5,0.10,0.41,0.79,0.66
GdEu 5% F3,7.4,0.01,-1.19,-0.10,0.50
GdEu 5% F3,7.4,0.05,-0.48,0.33,0.77
GdEu 5% F3,7.4,0.10,0.80,1.38,1.56
GdEu 20% F3,6.5,0.01,-0.16,-0.80,-0.21
GdEu 20% F3,6.5,0.05,0.01,-0.42,-0.01
GdEu 20% F3,6.5,0.10,0.71,0.46,0.75
GdEu 20% F3,7.4,0.01,-0.68,0.62,0.48
GdEu 20% F3,7.4,0.05,-0.49,0.62,1.07
GdEu 20% F3,7.4,0.10,1.00,1.51,1.51
